illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
expressive,bible_BKR_Ga.txt,3,167,0.018,0.0241,0.0214,-0.285,34
expressive,bible_BKR_Gn.txt,11,2268,0.0049,0.0241,0.0214,-0.898,54
expressive,bible_BKR_Iz.txt,63,1770,0.0356,0.0241,0.0214,0.538,17
expressive,bible_BKR_J.txt,10,1218,0.0082,0.0241,0.0214,-0.744,47
expressive,bible_BKR_Jb.txt,35,1134,0.0309,0.0241,0.0214,0.319,22
expressive,bible_BKR_Jk.txt,6,143,0.042,0.0241,0.0214,0.838,12
expressive,bible_BKR_Jl.txt,2,93,0.0215,0.0241,0.0214,-0.121,31
expressive,bible_BKR_Jon.txt,0,67,0.0,0.0241,0.0214,-1.127,63
expressive,bible_BKR_Joz.txt,2,783,0.0026,0.0241,0.0214,-1.006,58
expressive,bible_BKR_Jr.txt,28,1715,0.0163,0.0241,0.0214,-0.365,38
expressive,bible_BKR_Ju.txt,0,23,0.0,0.0241,0.0214,-1.127,64
expressive,bible_BKR_Kaz.txt,5,297,0.0168,0.0241,0.0214,-0.341,36
expressive,bible_BKR_Ko.txt,5,74,0.0676,0.0241,0.0214,2.036,5
expressive,bible_BKR_L.txt,27,1404,0.0192,0.0241,0.0214,-0.229,33
expressive,bible_BKR_Lv.txt,33,1044,0.0316,0.0241,0.0214,0.351,20
expressive,bible_BKR_Mal.txt,4,100,0.04,0.0241,0.0214,0.744,13
expressive,bible_BKR_Mi.txt,5,155,0.0323,0.0241,0.0214,0.384,19
expressive,bible_BKR_Mk.txt,8,905,0.0088,0.0241,0.0214,-0.715,45
expressive,bible_BKR_Mt.txt,23,1376,0.0167,0.0241,0.0214,-0.346,37
expressive,bible_BKR_Na.txt,1,64,0.0156,0.0241,0.0214,-0.397,39
expressive,bible_BKR_Neh.txt,3,427,0.007,0.0241,0.0214,-0.8,49
expressive,bible_BKR_Nu.txt,10,1488,0.0067,0.0241,0.0214,-0.814,52
expressive,bible_BKR_Oz.txt,8,274,0.0292,0.0241,0.0214,0.239,23
expressive,bible_BKR_Pis.txt,0,163,0.0,0.0241,0.0214,-1.127,65
